iter	Passed	Remaining
687	3471	1574
688	3475	1568
689	3480	1563
690	3484	1558
691	3488	1552
692	3493	1547
693	3498	1542
694	3503	1537
695	3508	1532
696	3512	1527
697	3517	1521
698	3522	1516
699	3526	1511
700	3531	1506
701	3536	1501
702	3542	1496
703	3547	1491
704	3552	1486
705	3557	1481
706	3561	1476
707	3566	1471
708	3571	1465
709	3576	1460
710	3581	1455
711	3586	1450
712	3591	1445
713	3596	1440
714	3601	1435
715	3606	1430
716	3618	1428
717	3625	1423
718	3632	1419
719	3637	1414
720	3643	1409
721	3648	1404
722	3653	1399
723	3659	1395
724	3670	1392
725	3677	1387
726	3683	1383
727	3689	1378
728	3694	1373
729	3698	1367
730	3701	1362
731	3706	1356
732	3709	1351
733	3712	1345
734	3714	1339
735	3717	1333
736	3720	1327
737	3724	1322
738	3727	1316
739	3729	1310
740	3732	1304
741	3735	1298
742	3738	1293
743	3741	1287
744	3744	1281
745	3746	1275
746	3750	1270
747	3753	1264
748	3756	1258
749	3758	1252
750	3761	1247
751	3764	1241
752	3767	1235
753	3770	1230
754	3772	1224
755	3775	1218
756	3778	1212
757	3780	1207
758	3783	1201
759	3786	1195
760	3788	1189
761	3791	1184
762	3793	1178
763	3796	1172
764	3798	1166
765	3801	1161
766	3803	1155
767	3806	1149
768	3809	1144
769	3811	1138
770	3814	1132
771	3816	1127
772	3818	1121
773	3821	1115
774	3823	1110
775	3825	1104
776	3828	1098
777	3831	1093
778	3833	1087
779	3836	1081
780	3838	1076
781	3840	1070
782	3843	1065
783	3846	1059
784	3849	1054
785	3851	1048
786	3853	1043
787	3856	1037
788	3858	1031
789	3861	1026
790	3863	1020
791	3865	1015
792	3868	1009
793	3870	1004
794	3873	998
795	3875	993
796	3878	987
797	3880	982
798	3883	976
799	3885	971
800	3888	966
801	3890	960
802	3893	955
803	3896	949
804	3898	944
805	3901	939
806	3903	933
807	3906	928
808	3909	922
809	3911	917
810	3914	912
811	3917	906
812	3920	901
813	3923	896
814	3926	891
815	3930	886
816	3933	881
817	3938	876
818	3942	871
819	3946	866
820	3950	861
821	3955	856
822	3960	851
823	3965	846
824	3969	842
825	3974	837
826	3978	832
827	3983	827
828	3987	822
829	3991	817
830	3996	812
831	4001	807
832	4005	803
833	4010	798
834	4017	793
835	4023	789
836	4028	784
837	4033	779
838	4037	774
839	4042	769
840	4047	765
841	4052	760
842	4057	755
843	4063	751
844	4068	746
845	4073	741
846	4080	737
847	4086	732
848	4090	727
849	4097	723
850	4103	718
851	4110	714
852	4116	709
853	4121	704
854	4127	700
855	4133	695
856	4138	690
857	4144	685
858	4149	681
859	4154	676
860	4160	671
861	4165	666
862	4171	662
863	4176	657
864	4183	652
865	4189	648
866	4193	643
867	4198	638
868	4202	633
869	4206	628
870	4211	623
871	4216	618
872	4220	614
873	4224	609
874	4229	604
875	4234	599
876	4239	594
877	4244	589
878	4248	584
879	4252	579
880	4256	574
881	4261	570
882	4266	565
883	4271	560
884	4275	555
885	4279	550
886	4283	545
887	4287	540
888	4293	536
889	4298	531
890	4303	526
891	4307	521
892	4312	516
893	4316	511
894	4320	506
895	4325	502
896	4331	497
897	4338	492
898	4345	488
899	4352	483
900	4361	479
901	4367	474
902	4372	469
903	4378	464
904	4384	460
905	4389	455
906	4394	450
907	4400	445
908	4405	441
909	4411	436
910	4416	431
911	4421	426
912	4426	421
913	4430	416
914	4436	412
915	4441	407
916	4445	402
917	4451	397
918	4456	392
919	4461	387
920	4466	383
921	4471	378
922	4475	373
923	4481	368
924	4487	363
925	4492	358
926	4497	354
927	4502	349
928	4507	344
929	4512	339
930	4519	334
931	4525	330
932	4531	325
933	4536	320
934	4542	315
935	4548	310
936	4552	306
937	4558	301
938	4562	296
939	4567	291
940	4573	286
941	4577	281
942	4581	276
943	4587	272
944	4591	267
945	4595	262
946	4600	257
947	4604	252
948	4609	247
949	4613	242
950	4618	237
951	4622	233
952	4626	228
953	4631	223
954	4636	218
955	4640	213
956	4644	208
957	4649	203
958	4653	198
959	4657	194
960	4661	189
961	4666	184
962	4671	179
963	4675	174
964	4680	169
965	4685	164
966	4691	160
967	4696	155
968	4700	150
969	4705	145
970	4709	140
971	4715	135
972	4720	130
973	4725	126
974	4730	121
975	4734	116
976	4739	111
977	4744	106
978	4748	101
979	4753	97
980	4757	92
981	4762	87
982	4768	82
983	4775	77
984	4780	72
985	4784	67
986	4789	63
987	4794	58
988	4798	53
989	4803	48
990	4808	43
991	4812	38
992	4817	33
993	4821	29
994	4827	24
995	4833	19
996	4838	14
997	4843	9
998	4849	4
999	4856	0
